family	seed	selected_tag	val_fpr	val_gbf1	val_gcount	test_fpr	test_gbf1	test_gcount	predecode_intergenic_fp_rate	predecode_cds_genic_rate	raw_intergenic_fp_rate	raw_cds_genic_rate
M11	0	b2p5_mcl60_mfg20	0.008736	0.831004	1.035294	0.008803	0.695448	1.223785	0.013016	0.665489	0.057132	0.791117
M11	1	b3p0_mcl60_mfg20	0.009465	0.842294	1.060535	0.009187	0.711152	1.218562	0.014242	0.684790	0.058422	0.803727
M11	2	b1p5_mcl60_mfg0	0.009509	0.821435	0.924813	0.006725	0.682844	1.024508	0.020913	0.675432	0.048315	0.754908
M12A	0	b3p0_mcl60_mfg20	0.008474	0.896470	1.003820	0.032831	0.652123	1.989956	0.166091	0.713548	0.420279	0.873688
M12A	1	b2p0_mcl60_mfg0	0.009767	0.908798	0.852689	0.034894	0.669410	1.674568	0.284821	0.809736	0.391586	0.858113
M12A	2	b3p0_mcl60_mfg20	0.009615	0.899840	0.952323	0.025645	0.645179	1.599036	0.245051	0.762545	0.437798	0.872569
