model,kind,gene_body_F1_unconstrained,constrained_gene_body_F1,gene_body_precision,gene_body_recall,intergenic_specificity,intergenic_FPR,macro_intergenic_specificity,predicted_gene_count_ratio_vs_reference,intergenic_guardrail_pass_at_0.01
GENERanno-1.2B-LoRA-s0,adapted_pretrained,0.8421192472235876,0.8421192472235876,0.9533525850174792,0.7541303562547967,0.9916913857205975,0.008308614279402549,0.9935709648782527,1.082710779082177,True
GENERanno-1.2B-LoRA-s1,adapted_pretrained,0.8815481561599101,0.8815481561599101,0.9611299766820699,0.8141373635335325,0.993509641187905,0.006490358812095066,0.9946771300374064,0.8299092849519744,True
Tiberius-angiosperm,released_fixed_model,0.9251766299062825,0.9251766299062825,0.9666901597430503,0.887081800431991,0.9927440730471546,0.00725592695284536,0.9935965249728627,0.6280431762316981,True
ANNEVO-Magnoliopsida,released_fixed_model,0.9269248354898034,0.9269248354898034,0.9563029747964006,0.89929792192299,0.9883497300104342,0.011650269989565785,0.9902937857006341,0.7262797905311531,False
Helixer-land_plant,released_fixed_model,0.9220193699137648,0.0,0.9194068357968138,0.9246467935964552,0.9784041232869043,0.021595876713095704,0.9792780569093377,0.8204125253820669,False
