short,label,kind,claim_status,status,gene_body_F1_unconstrained,constrained_gene_body_F1_at_0.005,constrained_gene_body_F1_at_0.01,constrained_gene_body_F1_at_0.02,intergenic_specificity,intergenic_FPR,macro_intergenic_specificity,predicted_gene_count,reference_gene_count,predicted_gene_count_ratio_vs_reference,utility_note,metrics_path
GENERanno-1.2B-s0,"GENERanno 1.2B CDS-preview + our 3-class LoRA, seed0",our adapted/fine-tuned pretrained-CDS backbone,mechanism/challenger; GENERanno provenance overlap unknown,available,0.8493753352993371,0.0,0.8493753352993371,0.8493753352993371,0.9928780459352663,0.0071219540647337425,0.9943239092242578,6477,7496,0.8640608324439701,FPR<=0.01; gene count sane,outputs/M18-GENERANNO-1P2B-SPEC-OBJECTIVE-s0/metrics/metrics.json
GENERanno-0.5B-base-s0,"GENERanno 0.5B base + our 3-class LoRA, seed0",our adapted/fine-tuned generic pretrained backbone,mechanism ablation; tests whether generic GENERanno pretraining is sufficient,available,0.6560850798857919,0.0,0.0,0.0,0.9032865601811096,0.09671343981889031,0.9289516852564799,12121,7496,1.6169957310565635,FPR>0.02; over-calls genes,outputs/M18-GENERANNO-0P5B-SPEC-OBJECTIVE-s0/metrics/metrics.json
M19-GENERanno-1.2B-s0,"GENERanno 1.2B CDS-preview + our 3-class LoRA, M19 seed0",our adapted/fine-tuned pretrained-CDS backbone,pending M19 completion; provenance overlap unknown,available,0.8421192472235876,0.0,0.8421192472235876,0.8421192472235876,0.9916913857205975,0.008308614279402549,0.9935709648782527,8116,7496,1.082710779082177,FPR<=0.01; gene count sane,outputs/M19-GENERANNO-1P2B-RAWCAL-CLEANPLANTS-s0/metrics/metrics.json
M19-GENERanno-1.2B-s1,"GENERanno 1.2B CDS-preview + our 3-class LoRA, M19 seed1",our adapted/fine-tuned pretrained-CDS backbone,pending M19 completion; provenance overlap unknown,available,0.8815481561599101,0.0,0.8815481561599101,0.8815481561599101,0.993509641187905,0.006490358812095066,0.9946771300374064,6221,7496,0.8299092849519744,FPR<=0.01; gene count sane,outputs/M19-GENERANNO-1P2B-RAWCAL-CLEANPLANTS-s1/metrics/metrics.json
Tiberius,Tiberius angiosperm released model,released fixed model,same-panel external comparator,available,0.9251766299062825,0.0,0.9251766299062825,0.9251766299062825,0.9927440730471546,0.00725592695284536,0.9935965249728627,29383,46785,0.6280431762316981,FPR<=0.01; under-calls genes,outputs/M12B-SAMEPANEL-BASELINES-TIBERIUS/metrics/metrics.json
ANNEVO,ANNEVO Magnoliopsida released model,released fixed model,same-panel external comparator,available,0.9269248354898034,0.0,0.0,0.9269248354898034,0.9883497300104342,0.011650269989565785,0.9902937857006341,33979,46785,0.7262797905311531,FPR 0.01-0.02; under-calls genes,outputs/M12B-SAMEPANEL-BASELINES-ANNEVO/metrics/metrics.json
Helixer,Helixer land-plant released model,released fixed model,same-panel external comparator,available,0.9220193699137648,0.0,0.0,0.0,0.9784041232869043,0.021595876713095704,0.9792780569093377,38383,46785,0.8204125253820669,FPR>0.02; gene count sane,outputs/M12B-SAMEPANEL-BASELINES-HELIXER/metrics/metrics.json
