short,label,kind,claim_status,status,gene_body_F1_unconstrained,constrained_gene_body_F1_at_0.005,constrained_gene_body_F1_at_0.01,constrained_gene_body_F1_at_0.02,intergenic_specificity,intergenic_FPR,macro_intergenic_specificity,predicted_gene_count,reference_gene_count,predicted_gene_count_ratio_vs_reference,utility_note,metrics_path
ANNEVO-M17,ANNEVO released clade-matched models,released fixed/clade-matched models,diagnostic; overlap/provenance caveats vary by species,available,0.9114584537865976,0.0,0.0,0.0,0.9760332064435998,0.023966793556400204,0.9721266715182889,59448,70804,0.8396135811536072,FPR>0.02; gene count sane,outputs/M17-SAMEPANEL-GENERALIZATION-BASELINES-ANNEVO/metrics/metrics.json
Tiberius-M17,Tiberius released model,released fixed model,diagnostic; strong specificity but under-calls genes,available,0.8790582379878141,0.0,0.0,0.8790582379878141,0.9826608098021209,0.017339190197879082,0.9786020279188519,39342,70804,0.5556465736399073,FPR 0.01-0.02; under-calls genes,outputs/M17-SAMEPANEL-GENERALIZATION-BASELINES-TIBERIUS/metrics/metrics.json
Helixer-M17,Helixer released lineage models,released fixed/clade-matched models,diagnostic; high FPR on plant/gallus rows,available,0.8796901668918635,0.0,0.0,0.0,0.9474011551262649,0.05259884487373507,0.9452938450296813,65884,70804,0.9305124004293542,FPR>0.02; gene count sane,outputs/M17-SAMEPANEL-GENERALIZATION-BASELINES-HELIXER/metrics/metrics.json
